title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM 1-3,Expression UKESM1,Expression UKESM1-3,HadGEM3-GC31,HadGEM3-GC5,Model units,UKESM1,UKESM1-3
Variable land.mrro.tavg-u-hxy-lnd.day.GLB (day.mrro),1808,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1808,day land CMIP6 UKESM1 HadGEM3-GC31 approved,mrro_tavg-u-hxy-lnd,runoff_flux,"""comment"" was ""The total run-off (including drainage through the base of the soil model) per unit area leaving the land portion of the grid cell."";",area: areacella,area: mean where land time: mean,"computed as the total runoff (including ""drainage"" through the base of the soil model) leaving the land portion of the grid cell divided by the land area in the grid cell.",longitude latitude time,day,Total Runoff,land,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,m01s08i234[lbproc=128] + m01s08i235[lbproc=128],m01s08i234[lbproc=128] + m01s08i235[lbproc=128],,m01s08i234[lbproc=128] + m01s08i235[lbproc=128],m01s08i234[lbproc=128] + m01s08i235[lbproc=128],,,kg m-2 s-1,,
Variable land.tsl.tavg-sl-hxy-lnd.mon.GLB (Lmon.tsl),1307,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1307,mon land CMIP6 UKESM1 HadGEM3-GC31 approved,tsl_tavg-sl-hxy-lnd,soil_temperature,"""comment"" was ""Temperature of soil. Reported as missing for grid cells with no land."";",area: areacella,area: mean where land time: mean,"Temperature of each soil layer. Reported as ""missing"" for grid cells occupied entirely by ""sea"".",longitude latitude sdepth time,mon,Temperature of Soil,land,,"If soil layer thicknesses vary from one location to another, interpolate to a standard set of depths. Ideally, the interpolation should preserve the vertical integral.",GLB,K,CMIP6 CMOR variable,m01s08i225[lbproc=128],m01s08i225[lbproc=128],,m01s08i225[lbproc=128],m01s08i225[lbproc=128],,,K,,
Variable land.treeFrac.tavg-u-hxy-u.mon.GLB (Lmon.treeFrac),1306,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1306,mon land CMIP6 UKESM1 HadGEM3-GC31 approved,treeFrac_tavg-u-hxy-u,area_fraction,"""comment"" was ""Percentage of entire grid cell that is covered by trees.""; ; ""cell_methods"" was ""area: mean where land over all_area_types time: mean"";",area: areacella,area: time: mean,fraction of entire grid cell that is covered by trees.,longitude latitude time typetree,mon,Tree Cover Percentage,land,,"add scalar coordinate typetree and add ""tree"" to the CF area type table. Note that if this variable is independent of time, it should be stored only for a single time (user choice). CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",GLB,%,CMIP6 CMOR variable,"land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='tree')","land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='tree')",,"land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='tree')","land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='tree')",,,%,,
Variable land.tran.tavg-u-hxy-lnd.mon.GLB (Lmon.tran),1305,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1305,mon land CMIP6 UKESM1 HadGEM3-GC31 approved,tran_tavg-u-hxy-lnd,transpiration_flux,,area: areacella,area: mean where land time: mean,Transpiration (may include dew formation as a negative flux).,longitude latitude time,mon,Transpiration,land,up,,GLB,kg m-2 s-1,CMIP6 CMOR variable,m01s03i539[lbproc=128],m01s03i539[lbproc=128],,m01s03i539[lbproc=128],m01s03i539[lbproc=128],,,kg m-2 s-1,,
Variable land.shrubFrac.tavg-u-hxy-u.mon.GLB (Lmon.shrubFrac),1304,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1304,mon land CMIP6 UKESM1 HadGEM3-GC31 approved,shrubFrac_tavg-u-hxy-u,area_fraction,"""comment"" was ""Percentage of entire grid cell that is covered by shrub.""; ; ""cell_methods"" was ""area: mean where land over all_area_types time: mean"";",area: areacella,area: time: mean,fraction of entire grid cell that is covered by shrub.,longitude latitude time typeshrub,mon,Percentage Cover by Shrub,land,,"add scalar coordinate typeshrub and add ""shrub"" to the CF area type table. Note that if this variable is independent of time, it should be stored only for a single time (user choice). CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",GLB,%,CMIP6 CMOR variable,"land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='shrub')","land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='shrub')",,"land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='shrub')","land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='shrub')",,,%,,
Variable land.rh.tavg-u-hxy-lnd.mon.GLB (Lmon.rh),1303,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1303,mon land CMIP6 UKESM1 approved,rh_tavg-u-hxy-lnd,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_heterotrophic_respiration,,area: areacella,area: mean where land time: mean,Carbon mass flux per unit area into atmosphere due to heterotrophic respiration on land (respiration by consumers),longitude latitude time,mon,Total Heterotrophic Respiration on Land as Carbon Mass Flux [kgC m-2 s-1],land,up,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,"m01s19i053[lbtim_ia=240,lbproc=128] / (SECONDS_IN_DAY * DAYS_IN_YEAR)","m01s19i053[lbtim_ia=240,lbproc=128] / (SECONDS_IN_DAY * DAYS_IN_YEAR)",,,kg m-2 s-1,,
Variable land.residualFrac.tavg-u-hxy-u.mon.GLB (Lmon.residualFrac),1302,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1302,mon land CMIP6 UKESM1 HadGEM3-GC31 approved,residualFrac_tavg-u-hxy-u,area_fraction,"""comment"" was ""Percentage of entire grid cell that is land and is covered by neither vegetation nor bare-soil (e.g., urban, ice, lakes, etc.)""; ; ""cell_methods"" was ""area: mean where land over all_area_types time: mean"";",area: areacella,area: time: mean,"fraction of entire grid cell that is land and is covered by ""non-vegetation"" and ""non-bare-soil"" (e.g., urban, ice, lakes, etc.)",longitude latitude time typeresidual,mon,Percentage of Grid Cell That Is Land but neither Vegetation Covered nor Bare Soil,land,,"add scalar coordinate type???and add ""???"" to the CF area type table. CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",GLB,%,CMIP6 CMOR variable,"land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='residual')","land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='residual')",,"land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='residual')","land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='residual')",,,%,,
Variable land.ra.tavg-u-hxy-lnd.mon.GLB (Lmon.ra),1301,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1301,mon land CMIP6 UKESM1 approved,ra_tavg-u-hxy-lnd,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration,,area: areacella,area: mean where land time: mean,Carbon mass flux per unit area into atmosphere due to autotrophic respiration on land (respiration by producers) [see rh for heterotrophic production],longitude latitude time,mon,Carbon Mass Flux into Atmosphere Due to Autotrophic (Plant) Respiration on Land [kgC m-2 s-1],land,up,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,"m01s19i185[lbtim_ia=240,lbproc=128] / (SECONDS_IN_DAY * DAYS_IN_YEAR)","m01s19i185[lbtim_ia=240,lbproc=128] / (SECONDS_IN_DAY * DAYS_IN_YEAR)",,,kg m-2 s-1,,
Variable land.prveg.tavg-u-hxy-lnd.mon.GLB (Lmon.prveg),1300,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1300,mon land CMIP6 do-not-produce,prveg_tavg-u-hxy-lnd,precipitation_flux_onto_canopy,"""comment"" was ""The precipitation flux that is intercepted by the vegetation canopy (if present in model) before reaching the ground."";",area: areacella,area: mean where land time: mean,the precipitation flux that is intercepted by the vegetation canopy (if present in model) before reaching the ground.,longitude latitude time,mon,Precipitation onto Canopy,land,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,,,,,,,
Variable land.pastureFrac.tavg-u-hxy-u.mon.GLB (Lmon.pastureFrac),1299,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1299,mon land CMIP6 UKESM1 approved,pastureFrac_tavg-u-hxy-u,area_fraction,"""cell_methods"" was ""area: mean where land over all_area_types time: mean""; ; ""comment"" was ""Percentage of entire grid cell that is covered by anthropogenic pasture."";",area: areacella,area: time: mean,fraction of entire grid cell that is covered by anthropogenic pasture.,longitude latitude time typepasture,mon,Percentage of Land Which Is Anthropogenic Pasture,land,,"add scalar coordinate typepasture and add ""pasture"" to the CF area type table. Note that if this variable is independent of time, it should be stored only for a single time (user choice). CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",GLB,%,CMIP6 CMOR variable,,,,"land_class_area(m01s19i013[lbtim_ia=240,lbproc=128],m01s03i395[lbproc=128], land_class='pasture')","land_class_area(m01s19i013[lbtim_ia=240,lbproc=128],m01s03i395[lbproc=128], land_class='pasture')",,,%,,
Variable land.nppRoot.tavg-u-hxy-lnd.mon.GLB (Lmon.nppRoot),1298,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1298,mon land CMIP6 do-not-produce,nppRoot_tavg-u-hxy-lnd,net_primary_productivity_of_biomass_expressed_as_carbon_accumulated_in_roots,,area: areacella,area: mean where land time: mean,This is the rate of carbon uptake by roots due to NPP,longitude latitude time,mon,Net Primary Production Allocated to Roots as Carbon Mass Flux [kgC m-2 s-1],land,down,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,,,,,,,
Variable land.nppLeaf.tavg-u-hxy-lnd.mon.GLB (Lmon.nppLeaf),1297,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1297,mon land CMIP6 do-not-produce,nppLeaf_tavg-u-hxy-lnd,net_primary_productivity_of_biomass_expressed_as_carbon_accumulated_in_leaves,,area: areacella,area: mean where land time: mean,This is the rate of carbon uptake by leaves due to NPP,longitude latitude time,mon,Net Primary Production Allocated to Leaves as Carbon Mass Flux [kgC m-2 s-1],land,down,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,,,,,,,
Variable land.npp.tavg-u-hxy-lnd.mon.GLB (Lmon.npp),1296,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1296,mon land CMIP6 UKESM1 approved,npp_tavg-u-hxy-lnd,net_primary_productivity_of_biomass_expressed_as_carbon,"""comment"" was ""'Production of carbon' means the production of biomass expressed as the mass of carbon which it contains. Net primary production is the excess of gross primary production (rate of synthesis of biomass from inorganic precursors) by autotrophs ('producers'), for example, photosynthesis in plants or phytoplankton, over the rate at which the autotrophs themselves respire some of this biomass. 'Productivity' means production per unit area. The phrase 'expressed_as' is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A."";",area: areacella,area: mean where land time: mean,"""Production of carbon"" means the production of biomass expressed as the mass of carbon which it contains. Net primary production is the excess of gross primary production (rate of synthesis of biomass from inorganic precursors) by autotrophs (""producers""), for example, photosynthesis in plants or phytoplankton, over the rate at which the autotrophs themselves respire some of this biomass. ""Productivity"" means production per unit area. The phrase ""expressed_as"" is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A.",longitude latitude time,mon,Net Primary Production on Land as Carbon Mass Flux [kgC m-2 s-1],land,down,needed for any model that does not compute GPP,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,"m01s19i102[lbtim_ia=240,lbproc=128] / (SECONDS_IN_DAY * DAYS_IN_YEAR)","m01s19i102[lbtim_ia=240,lbproc=128] / (SECONDS_IN_DAY * DAYS_IN_YEAR)",,,kg m-2 s-1,,
Variable land.nbp.tavg-u-hxy-lnd.mon.GLB (Lmon.nbp),1295,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1295,mon land CMIP6 UKESM1 approved,nbp_tavg-u-hxy-lnd,surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes,"""comment"" was ""This is the net mass flux of carbon from atmosphere into land, calculated as photosynthesis MINUS the sum of plant and soil respiration, carbon fluxes from fire, harvest, grazing and land use change. Positive flux is into the land."";",area: areacella,area: mean where land time: mean,"This is the net mass flux of carbon between land and atmosphere calculated as photosynthesis MINUS the sum of plant and soil respiration, carbonfluxes from fire, harvest, grazing and land use change. Positive flux is into the land.",longitude latitude time,mon,Carbon Mass Flux out of Atmosphere Due to Net Biospheric Production on Land [kgC m-2 s-1],land,down,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,"(m01s19i102[lbtim_ia=240,lbproc=128] - m01s19i053[lbtim_ia=240,lbproc=128] - m01s19i042[lbtim_ia=240,lbproc=128] - m01s19i044[lbtim_ia=240,lbproc=128]) / (SECONDS_IN_DAY * DAYS_IN_YEAR)","(m01s19i102[lbtim_ia=240,lbproc=128] - m01s19i053[lbtim_ia=240,lbproc=128] - m01s19i042[lbtim_ia=240,lbproc=128] - m01s19i044[lbtim_ia=240,lbproc=128]) / (SECONDS_IN_DAY * DAYS_IN_YEAR)",,,kg m-2 s-1,,
Variable land.mrsol.tavg-d10cm-hxy-lnd.mon.GLB (Lmon.mrsos),1294,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1294,mon land CMIP6 UKESM1 HadGEM3-GC31 BCV approved,mrsol_tavg-d10cm-hxy-lnd,mass_content_of_water_in_soil_layer,"""comment"" was ""The mass of water in all phases in the upper 10cm of the soil layer."";",area: areacella,area: mean where land time: mean,the mass of water in all phases in a thin surface soil layer.,longitude latitude time sdepth10cm,mon,Moisture in Upper Portion of Soil Column,land,,"integrate over uppermost 10 cm. CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude time sdepth1 CMIP7:longitude latitude time sdepth10cm,",GLB,kg m-2,CMIP6 CMOR variable,"m01s08i223[blev=0.05, lbproc=128]","m01s08i223[blev=0.05, lbproc=128]",,"m01s08i223[blev=0.05, lbproc=128]","m01s08i223[blev=0.05, lbproc=128]",,,kg m-2,,
Variable land.mrso.tavg-u-hxy-lnd.mon.GLB (Lmon.mrso),1293,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1293,mon land CMIP6 UKESM1 HadGEM3-GC31 BCV approved,mrso_tavg-u-hxy-lnd,mass_content_of_water_in_soil,,area: areacella,area: mean where land time: mean,the mass per unit area (summed over all soil layers) of water in all phases.,longitude latitude time,mon,Total Soil Moisture Content,land,,,GLB,kg m-2,CMIP6 CMOR variable,level_sum(m01s08i223[lbproc=128]),level_sum(m01s08i223[lbproc=128]),,level_sum(m01s08i223[lbproc=128]),level_sum(m01s08i223[lbproc=128]),,,kg m-2,,
Variable land.mrros.tavg-u-hxy-lnd.mon.GLB (Lmon.mrros),1292,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1292,mon land CMIP6 UKESM1 HadGEM3-GC31 BCV approved,mrros_tavg-u-hxy-lnd,surface_runoff_flux,"""comment"" was ""The total surface run off leaving the land portion of the grid cell (excluding drainage through the base of the soil model)."";",area: areacella,area: mean where land time: mean,the total surface runoff leaving the land portion of the grid cell.,longitude latitude time,mon,Surface Runoff,land,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,m01s08i234[lbproc=128],m01s08i234[lbproc=128],,m01s08i234[lbproc=128],m01s08i234[lbproc=128],,,kg m-2 s-1,,
Variable land.mrro.tavg-u-hxy-lnd.mon.GLB (Lmon.mrro),1291,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1291,mon land CMIP6 UKESM1 HadGEM3-GC31 BCV approved,mrro_tavg-u-hxy-lnd,runoff_flux,"""comment"" was ""The total run-off (including drainage through the base of the soil model) per unit area leaving the land portion of the grid cell."";",area: areacella,area: mean where land time: mean,"the total runoff (including ""drainage"" through the base of the soil model) leaving the land portion of the grid cell.",longitude latitude time,mon,Total Runoff,land,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,m01s08i234[lbproc=128] + m01s08i235[lbproc=128],m01s08i234[lbproc=128] + m01s08i235[lbproc=128],,m01s08i234[lbproc=128] + m01s08i235[lbproc=128],m01s08i234[lbproc=128] + m01s08i235[lbproc=128],,,kg m-2 s-1,,
Variable land.landCoverFrac.tavg-u-hxy-u.mon.GLB (Lmon.landCoverFrac),1289,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1289,mon land CMIP6,landCoverFrac_tavg-u-hxy-u,area_fraction,"""comment"" was ""Percentage of grid cell area occupied by different model vegetation/land cover categories. The categories may differ from model to model, depending on each model's subgrid land cover category definitions. Categories may include natural vegetation, anthropogenic vegetation, bare soil, lakes, urban areas, glaciers, etc. Sum of all should equal the percentage of the grid cell that is land.""; ; ""cell_methods"" was ""area: mean where land over all_area_types time: mean"";",area: areacella,area: time: mean,"The categories may differ from model to model, depending on their PFT definitions. This may include natural PFTs, anthropogenic PFTs, bare soil, lakes, urban areas, etc. Sum of all should equal the fraction of the grid-cell that is land.",longitude latitude vegtype time,mon,Percentage of Area by Vegetation or Land-Cover Category,land,,"need to explain how to define vegtype. To facilitate model comparison, it is also requested that the aggregated land cover types called for in lines 28 to 35 be archived (but not in this variable). Note that if this variable is independent of time, it should be stored only for a single time (user choice). Note that the ""types"" will be model dependent and for each type there should be a full description of the PFT (plant functional type). CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",GLB,%,CMIP6 CMOR variable,,,,,,,,,,
Variable land.lai.tavg-u-hxy-lnd.mon.GLB (Lmon.lai),1288,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1288,mon land CMIP6 UKESM1 HadGEM3-GC31 BCV approved,lai_tavg-u-hxy-lnd,leaf_area_index,,area: areacella,area: mean where land time: mean,A ratio obtained by dividing the total upper leaf surface area of vegetation by the (horizontal) surface area of the land on which it grows.,longitude latitude time,mon,Leaf Area Index,land,,"Note that if this variable is independent of time, it should be stored only for a single time (user choice).",GLB,1,CMIP6 CMOR variable,"land_class_mean(m01s19i014[lbtim_ia=240,lbproc=128], m01s19i013[lbtim_ia=240,lbproc=128], land_class='veg')","land_class_mean(m01s19i014[lbtim_ia=240,lbproc=128], m01s19i013[lbtim_ia=240,lbproc=128], land_class='veg')",,"land_class_mean(m01s19i014[lbtim_ia=240,lbproc=128], m01s19i013[lbtim_ia=240,lbproc=128], land_class='veg')","land_class_mean(m01s19i014[lbtim_ia=240,lbproc=128], m01s19i013[lbtim_ia=240,lbproc=128], land_class='veg')",,,1,,
