title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,HadGEM3-GC31,HadGEM3-GC5,Model units,UKESM1,UKESM1-3
Variable landIce.snicem.tavg-u-hxy-is.mon.GLB (LImon.snicemIs),1258,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1258,mon landIce CMIP6 UKESM1 HadGEM3-GC31 approved,snicem_tavg-u-hxy-is,surface_snow_and_ice_melt_flux,"""comment"" was ""Loss of snow and ice mass resulting from surface melting. Computed as the total surface melt on the land ice portion of the grid cell divided by land ice area in the grid cell."";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Surface Snow and Ice Melt Flux,landIce,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,"land_class_mean(m01s08i579[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')","land_class_mean(m01s08i579[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')","land_class_mean(m01s08i579[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')","land_class_mean(m01s08i579[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')",,,kg m-2 s-1,,
Variable landIce.snrefr.tavg-u-hxy-is.mon.GLB (LImon.snicefreezIs),1257,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1257,mon landIce CMIP6 UKESM1 HadGEM3-GC31 approved,snrefr_tavg-u-hxy-is,surface_snow_and_ice_refreezing_flux,"""comment"" was ""Mass flux of surface meltwater which refreezes within the snowpack. Computed as the total refreezing on the land ice portion of the grid cell divided by land ice area in the grid cell."";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Surface Snow and Ice Refreeze Flux,landIce,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,"land_class_mean(m01s08i580[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')","land_class_mean(m01s08i580[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')","land_class_mean(m01s08i580[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')","land_class_mean(m01s08i580[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')",,,kg m-2 s-1,,
Variable landIce.snd.tavg-u-hxy-lnd.mon.GLB (LImon.snd),1256,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1256,mon landIce CMIP6 UKESM1 HadGEM3-GC31 approved,snd_tavg-u-hxy-lnd,surface_snow_thickness,"""comment"" was ""where land over land, this is computed as the mean thickness of snow in the land portion of the grid cell (averaging over the entire land portion, including the snow-free fraction). Reported as 0.0 where the land fraction is 0.""; ; ""modeling_realm"" was ""landIce land"";",area: areacella,area: mean where land time: mean,"where land over land, this is computed as the mean thickness of snow in the land portion of the grid cell (averaging over the entire land portion, including the snow-free fraction). Reported as missing where the land fraction is 0.",longitude latitude time,mon,Snow Depth,landIce,,,GLB,m,CMIP6 CMOR variable,"land_class_mean(m01s08i376[lbproc=128], m01s03i317[lbproc=128], land_class='all')","land_class_mean(m01s08i376[lbproc=128], m01s03i317[lbproc=128], land_class='all')","land_class_mean(m01s08i376[lbproc=128], m01s03i317[lbproc=128], land_class='all')","land_class_mean(m01s08i376[lbproc=128], m01s03i317[lbproc=128], land_class='all')",,,m,,
Variable landIce.snc.tavg-u-hxy-is.mon.GLB (LImon.sncIs),1255,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1255,mon landIce CMIP6,snc_tavg-u-hxy-is,surface_snow_area_fraction,"""comment"" was ""Percentage of each grid cell that is occupied by snow that rests on land portion of cell."";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Snow Cover Percentage,landIce,,,GLB,%,CMIP6 CMOR variable,,,,,,,,,
Variable landIce.sftgrf.tavg-u-hxy-u.mon.GLB (LImon.sftgrf),1254,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1254,mon landIce CMIP6,sftgrf_tavg-u-hxy-u,grounded_ice_sheet_area_fraction,,area: areacella,area: time: mean,Percentage of grid cell covered by grounded ice sheet,longitude latitude time,mon,Grounded Ice Sheet Area Percentage,landIce,,,GLB,%,CMIP6 CMOR variable,,,,,,,,,
Variable landIce.sftflf.tavg-u-hxy-u.mon.GLB (LImon.sftflf),1252,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1252,mon landIce CMIP6,sftflf_tavg-u-hxy-u,floating_ice_shelf_area_fraction,,area: areacella,area: time: mean,"Percentage of grid cell covered by floating ice shelf, the component of the ice sheet that is flowing over sea water",longitude latitude time,mon,Floating Ice Shelf Area Percentage,landIce,,,GLB,%,CMIP6 CMOR variable,,,,,,,,,
Variable landIce.sbl.tavg-u-hxy-is.mon.GLB (LImon.sblIs),1251,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1251,mon landIce CMIP6 UKESM1 HadGEM3-GC31 approved,sbl_tavg-u-hxy-is,tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_snow_and_ice,"""comment"" was ""The snow and ice sublimation flux is the loss of snow and ice mass per unit area from the surface resulting from their direct conversion to water vapor that enters the atmosphere."";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Surface Snow and Ice Sublimation Flux,landIce,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,"land_class_mean(m01s03i331[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')","land_class_mean(m01s03i331[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')","land_class_mean(m01s03i331[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')","land_class_mean(m01s03i331[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')",,,kg m-2 s-1,,
Variable landIce.sbl.tavg-u-hxy-lnd.mon.GLB (LImon.sbl),1250,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1250,mon landIce CMIP6 UKESM1 HadGEM3-GC31 approved,sbl_tavg-u-hxy-lnd,tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_snow_and_ice,"""comment"" was ""The snow and ice sublimation flux is the loss of snow and ice mass per unit area from the surface resulting from their direct conversion to water vapor that enters the atmosphere."";",area: areacella,area: mean where land time: mean,The snow and ice sublimation flux is the loss of snow and ice mass resulting from their conversion to water vapor. Computed as the total sublimation on the land portion of the grid cell divided by the land area in the grid cell; reported as missing for snow-free land regions; reported as missing where the land fraction is 0.,longitude latitude time,mon,Surface Snow and Ice Sublimation Flux,landIce,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,"land_class_mean(m01s03i331[lbproc=128], m01s03i317[lbproc=128], land_class='all')","land_class_mean(m01s03i331[lbproc=128], m01s03i317[lbproc=128], land_class='all')","land_class_mean(m01s03i331[lbproc=128], m01s03i317[lbproc=128], land_class='all')","land_class_mean(m01s03i331[lbproc=128], m01s03i317[lbproc=128], land_class='all')",,,kg m-2 s-1,,
Variable landIce.rsus.tavg-u-hxy-is.mon.GLB (LImon.rsusIs),1249,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1249,mon landIce CMIP6,rsus_tavg-u-hxy-is,surface_upwelling_shortwave_flux_in_air,"""comment"" was ""The surface called 'surface' means the lower boundary of the atmosphere. 'shortwave' means shortwave radiation. Upwelling radiation is radiation from below. It does not mean 'net upward'. When thought of as being incident on a surface, a radiative flux is sometimes called 'irradiance'. In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called 'vector irradiance'. In accordance with common usage in geophysical disciplines, 'flux' implies per unit area, called 'flux density' in physics."";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Surface Upwelling Shortwave Radiation,landIce,up,,GLB,W m-2,CMIP6 CMOR variable,,,,,,,,,
Variable landIce.rsds.tavg-u-hxy-is.mon.GLB (LImon.rsdsIs),1248,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1248,mon landIce CMIP6,rsds_tavg-u-hxy-is,surface_downwelling_shortwave_flux_in_air,"""comment"" was ""Surface solar irradiance for UV calculations"";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Surface Downwelling Shortwave Radiation,landIce,down,,GLB,W m-2,CMIP6 CMOR variable,,,,,,,,,
Variable landIce.rlus.tavg-u-hxy-is.mon.GLB (LImon.rlusIs),1247,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1247,mon landIce CMIP6 UKESM1 HadGEM3-GC31 approved,rlus_tavg-u-hxy-is,surface_upwelling_longwave_flux_in_air,"""comment"" was ""The surface called 'surface' means the lower boundary of the atmosphere. 'longwave' means longwave radiation. Upwelling radiation is radiation from below. It does not mean 'net upward'. When thought of as being incident on a surface, a radiative flux is sometimes called 'irradiance'. In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called 'vector irradiance'. In accordance with common usage in geophysical disciplines, 'flux' implies per unit area, called 'flux density' in physics."";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Surface Upwelling Longwave Radiation,landIce,up,,GLB,W m-2,CMIP6 CMOR variable,"land_class_mean(m01s03i383[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')","land_class_mean(m01s03i383[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')","land_class_mean(m01s03i383[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')","land_class_mean(m01s03i383[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')",,,W m-2,,
Variable landIce.rlds.tavg-u-hxy-is.mon.GLB (LImon.rldsIs),1246,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1246,mon landIce CMIP6 UKESM1 HadGEM3-GC31 approved,rlds_tavg-u-hxy-is,surface_downwelling_longwave_flux_in_air,"""comment"" was ""The surface called 'surface' means the lower boundary of the atmosphere. 'longwave' means longwave radiation. Downwelling radiation is radiation from above. It does not mean 'net downward'. When thought of as being incident on a surface, a radiative flux is sometimes called 'irradiance'. In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called 'vector irradiance'. In accordance with common usage in geophysical disciplines, 'flux' implies per unit area, called 'flux density' in physics."";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Surface Downwelling Longwave Radiation,landIce,down,,GLB,W m-2,CMIP6 CMOR variable,"land_class_mean(m01s03i384[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')","land_class_mean(m01s03i384[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')","land_class_mean(m01s03i384[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')","land_class_mean(m01s03i384[lbproc=128], m01s03i317[lbproc=128], land_class='iceElev')",,,W m-2,,
Variable landIce.prsn.tavg-u-hxy-is.mon.GLB (LImon.prsnIs),1245,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1245,mon landIce CMIP6,prsn_tavg-u-hxy-is,snowfall_flux,"""comment"" was ""at surface; includes precipitation of all forms of water in the solid phase"";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Snowfall Flux,landIce,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,,,,,,
Variable landIce.prra.tavg-u-hxy-is.mon.GLB (LImon.prraIs),1244,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1244,mon landIce CMIP6,prra_tavg-u-hxy-is,rainfall_flux,"""comment"" was ""Rainfall rate over the ice sheet"";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Rainfall Rate,landIce,,,GLB,kg m-2 s-1,CMIP6 CMOR variable,,,,,,,,,
Variable landIce.pflw.tavg-u-hxy-lnd.mon.GLB (LImon.pflw),1243,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1243,mon landIce CMIP6,pflw_tavg-u-hxy-lnd,liquid_water_content_of_permafrost_layer,"""comment"" was ""*where land over land*, i.e., this is the total mass of liquid water contained within the permafrost layer within the land portion of a grid cell divided by the area of the land portion of the cell.""; ; ""modeling_realm"" was ""landIce land"";",area: areacella,area: mean where land time: mean,"""where land over land"", i.e., this is the total mass of liquid water contained within the permafrost layer within the land portion of a grid cell divided by the area of the land portion of the cell.",longitude latitude time,mon,Liquid Water Content of Permafrost Layer,landIce,,,GLB,kg m-2,CMIP6 CMOR variable,,,,,,,,,
Variable landIce.orog.tavg-u-hxy-is.mon.GLB (LImon.orogIs),1242,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1242,mon landIce CMIP6,orog_tavg-u-hxy-is,surface_altitude,"""comment"" was ""The surface called 'surface' means the lower boundary of the atmosphere. Altitude is the (geometric) height above the geoid, which is the reference geopotential surface. The geoid is similar to mean sea level."";",area: areacella,area: time: mean where ice_sheet,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)",longitude latitude time,mon,Ice Sheet Surface Altitude,landIce,,,GLB,m,CMIP6 CMOR variable,,,,,,,,,
