title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM-GC3.1,Expression HadGEM-GC5,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM 1-3,Expression UKESM1,Expression UKESM1-3,Expression UKESM2,Model units
Variable aerosol.mmrnh4.tpt-h2m-hxys-u.3hr.GLB (E3hrPt.mmrnh4),697,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/697,3hr aerosol,mmrnh4_tpt-h2m-hxys-u,mass_fraction_of_ammonium_dry_aerosol_particles_in_air,Not present,::MODEL,area: point time: point,"This variable represents the instantaneous surface NH4 Aerosol Mass Mixing Ratio at CF sites, sampled every 3 hours",site time1 lowerModelLayer,3hr,Instantaneous surface NH4 aerosol mass mixing ratio at CF sites,aerosol,,,GLB,kg kg-1,New,,,,,,,,,
Variable aerosol.mmrdust.tpt-h2m-hxys-u.3hr.GLB (E3hrPt.mmrdust),696,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/696,3hr aerosol,mmrdust_tpt-h2m-hxys-u,mass_fraction_of_dust_dry_aerosol_particles_in_air,Not present,::MODEL,area: point time: point,"This variable represents the instantaneous surface Dust Aerosol Mass Mixing Ratio at CF sites, sampled every 3 hours",site time1 lowerModelLayer,3hr,Instantaneous surface Dust Aerosol Mass Mixing Ratio at CF sites,aerosol,,,GLB,kg kg-1,New,,,,,,,,,
Variable aerosol.mmrbc.tpt-h2m-hxys-u.3hr.GLB (E3hrPt.mmrbc),695,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/695,3hr aerosol,mmrbc_tpt-h2m-hxys-u,mass_fraction_of_elemental_carbon_dry_aerosol_particles_in_air,Not present,::MODEL,area: point time: point,"This variable represents the instantaneous surface elemental carbon Aerosol Mass Mixing Ratio at CF sites, sampled every 3 hours",site time1 lowerModelLayer,3hr,Elemental carbon mass mixing ratio,aerosol,,,GLB,kg kg-1,New,,,,,,,,,
Variable aerosol.mmraerh2o.tpt-h2m-hxys-u.3hr.GLB (E3hrPt.mmraerh2o),694,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/694,3hr aerosol,mmraerh2o_tpt-h2m-hxys-u,mass_fraction_of_water_in_ambient_aerosol_particles_in_air,Not present,::MODEL,area: point time: point,"This variable represents the instantaneous surface aerosol water Mass Mixing Ratio at CF sites, sampled every 3 hours",site time1 lowerModelLayer,3hr,Instantaneous surface aerosol water mass mixing ratio at CF sites,aerosol,,,GLB,kg kg-1,New,,,,,,,,,
Variable aerosol.conccn.tpt-u-hxys-u.3hr.GLB (E3hrPt.conccn),691,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/691,3hr aerosol,conccn_tpt-u-hxys-u,number_concentration_of_ambient_aerosol_particles_in_air,Not present,::MODEL,area: point time: point,"The variable represents the instantaneous Aerosol Number Concentration at CF sites, sampled every 3 hours",site time1,3hr,Sub-daily Aerosol Number Concentration at CF sites,aerosol,,,GLB,m-3,New,,,,,,,,,
Variable aerosol.vt100.tavg-100hPa-hy-air.mon.GLB (AERmonZ.vt100),446,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/446,mon atmos CMIP6,vt100_tavg-100hPa-hy-air,covariance_over_longitude_of_northward_wind_and_air_temperature,"""cell_methods"" was ""longitude: mean time: mean"";",,longitude: time: mean where air,Zonally averaged eddy temperature flux at 100hPa as monthly means derived from daily (or higher frequency) fields.,latitude time p100,mon,Northward Eddy Temperature Flux,aerosol,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:longitude: mean time: mean CMIP7:longitude: time: mean where air,",GLB,K m s-1,CMIP6 CMOR variable,,,,,,,,,
Variable aerosol.oh.tavg-p39-hy-air.mon.GLB (AERmonZ.oh),442,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/442,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,oh_tavg-p39-hy-air,mole_fraction_of_hydroxyl_radical_in_air,"""cell_methods"" was ""longitude: mean time: mean"";",,longitude: time: mean where air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",latitude plev39 time,mon,OH Volume Mixing Ratio,aerosol,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:longitude: mean time: mean CMIP7:longitude: time: mean where air,",GLB,mol mol-1,CMIP6 CMOR variable,,,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_OH) * m01s51i081[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_OH) * m01s51i081[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]",,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_OH) * m01s51i081[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_OH) * m01s51i081[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]",,mol mol-1
Variable aerosol.noy.tavg-p39-hy-air.mon.GLB (AERmonZ.noy),440,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/440,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,noy_tavg-p39-hy-air,mole_fraction_of_noy_expressed_as_nitrogen_in_air,"""cell_methods"" was ""longitude: mean time: mean"";",,longitude: time: mean where air,"Total family (the sum of all appropriate species in the model); list the species in the netCDF header, e.g. NOy = N + NO + NO2 + NO3 + HNO3 + 2N2O5 + HNO4 + ClONO2 + BrONO2 Definition: Total reactive nitrogen; usually includes atomic nitrogen (N), nitric oxide (NO), NO2, nitrogen trioxide (NO3), dinitrogen radical (N2O5), nitric acid (HNO3), peroxynitric acid (HNO4), BrONO2, ClONO2 add comment attribute with detailed description about how the model calculates these fields",latitude plev39 time,mon,Total Reactive Nitrogen Volume Mixing Ratio,aerosol,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:longitude: mean time: mean CMIP7:longitude: time: mean where air,",GLB,mol mol-1,CMIP6 CMOR variable,,,"MOLECULAR_MASS_OF_AIR * ((m01s51i002[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_NO) + (m01s51i003[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_NO3) + (2 * m01s51i005[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_N2O5) + (m01s51i006[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HO2NO2) + (m01s51i007[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HNO3) + (m01s51i013[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HONO) + (m01s51i025[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_MEONO2) + (m01s51i048[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_BRONO2) + (m01s51i054[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_CLONO2) + (m01s51i058[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_NITROGEN) + (m01s51i996[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_NO2)) / m01s51i999[blev=PLEV39, lbproc=192]","MOLECULAR_MASS_OF_AIR * ((m01s51i002[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_NO) + (m01s51i003[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_NO3) + (2 * m01s51i005[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_N2O5) + (m01s51i006[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HO2NO2) + (m01s51i007[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HNO3) + (m01s51i013[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HONO) + (m01s51i025[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_MEONO2) + (m01s51i048[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_BRONO2) + (m01s51i054[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_CLONO2) + (m01s51i058[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_NITROGEN) + (m01s51i996[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_NO2)) / m01s51i999[blev=PLEV39, lbproc=192]",,"MOLECULAR_MASS_OF_AIR * ((m01s51i002[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_NO) + (m01s51i003[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_NO3) + (2 * m01s51i005[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_N2O5) + (m01s51i006[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HO2NO2) + (m01s51i007[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HNO3) + (m01s51i013[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HONO) + (m01s51i025[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_MEONO2) + (m01s51i048[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_BRONO2) + (m01s51i054[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_CLONO2) + (m01s51i058[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_NITROGEN) + (m01s51i996[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_NO2)) / m01s51i999[blev=PLEV39, lbproc=192]","MOLECULAR_MASS_OF_AIR * ((m01s51i002[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_NO) + (m01s51i003[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_NO3) + (2 * m01s51i005[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_N2O5) + (m01s51i006[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HO2NO2) + (m01s51i007[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HNO3) + (m01s51i013[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_HONO) + (m01s51i025[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_MEONO2) + (m01s51i048[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_BRONO2) + (m01s51i054[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_CLONO2) + (m01s51i058[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_NITROGEN) + (m01s51i996[blev=PLEV39, lbproc=192] / MOLECULAR_MASS_OF_NO2)) / m01s51i999[blev=PLEV39, lbproc=192]",,mol mol-1
Variable aerosol.ho2.tavg-p39-hy-air.mon.GLB (AERmonZ.ho2),437,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/437,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,ho2_tavg-p39-hy-air,mole_fraction_of_hydroperoxyl_radical_in_air,"""cell_methods"" was ""longitude: mean time: mean"";",,longitude: time: mean where air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y. The chemical formula of hydroperoxyl radical is HO2.",latitude plev39 time,mon,HO2 Volume Mixing Ratio,aerosol,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:longitude: mean time: mean CMIP7:longitude: time: mean where air,",GLB,mol mol-1,CMIP6 CMOR variable,,,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_HO2) * m01s51i082[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_HO2) * m01s51i082[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]",,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_HO2) * m01s51i082[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_HO2) * m01s51i082[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]",,mol mol-1
Variable aerosol.hno3.tavg-p39-hy-air.mon.GLB (AERmonZ.hno3),436,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/436,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,hno3_tavg-p39-hy-air,mole_fraction_of_nitric_acid_in_air,"""cell_methods"" was ""longitude: mean time: mean"";",,longitude: time: mean where air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",latitude plev39 time,mon,HNO3 Volume Mixing Ratio,aerosol,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:longitude: mean time: mean CMIP7:longitude: time: mean where air,",GLB,mol mol-1,CMIP6 CMOR variable,,,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_HNO3) * m01s51i007[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_HNO3) * m01s51i007[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]",,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_HNO3) * m01s51i007[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_HNO3) * m01s51i007[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]",,mol mol-1
Variable aerosol.hcl.tavg-p39-hy-air.mon.GLB (AERmonZ.hcl),435,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/435,mon aerosol CMIP6 UKESM1 HadGEM3-GC31 approved,hcl_tavg-p39-hy-air,mole_fraction_of_hydrogen_chloride_in_air,"""cell_methods"" was ""longitude: mean time: mean"";",,longitude: time: mean where air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y. The chemical formula of hydrogen chloride is HCl.",latitude plev39 time,mon,HCl Volume Mixing Ratio,aerosol,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:longitude: mean time: mean CMIP7:longitude: time: mean where air,",GLB,mol mol-1,CMIP6 CMOR variable,,,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_HCL) * m01s51i992[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_HCL) * m01s51i992[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]",,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_HCL) * m01s51i992[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]","(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_HCL) * m01s51i992[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]",,mol mol-1
Variable aerosol.h2o.tavg-p39-hy-air.mon.GLB (AERmonZ.h2o),434,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/434,mon aerosol CMIP6 do-not-produce,h2o_tavg-p39-hy-air,mass_fraction_of_water_in_air,"""cell_methods"" was ""longitude: mean time: mean"";",,longitude: time: mean where air,includes all phases of water,latitude plev39 time,mon,Mass Fraction of Water,aerosol,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:longitude: mean time: mean CMIP7:longitude: time: mean where air,",GLB,1,CMIP6 CMOR variable,,,,,,,,,
